Source,Target,Weight
20,223,66.05
20,89,11
20,364,33.3548
20,358,25.6667
20,25,23.9355
20,368,634.967
20,190,14.5417
20,234,198.5
20,224,23.0968
20,226,16.2941
20,143,20.5484
20,266,17.6786
20,225,15.8621
20,341,145.143
20,196,40.1786
20,219,201.548
20,199,87.4815
20,19,449.065
20,221|20,115.5
20,214,176.885
20,216,172.652
20,221,161.552
20,215,95
20,299,41.4194
20,163,15
20,155,11
20,181,16.5385
20,158,24.2903
20,162,12.7647
20,233,39.7742
20,200,55
20,142,10
20,367,37.871
20,159,16.375
20,375,13.1429
20,156,13.5833
20,180,15.6071
20,157,12.4545
20,160,15.0476
20,213,42.7742
20,201,51.1333
20,192,17.7333
20,178,15.4211
20,238,11.3333
20,152,10.1667
20,229,12.1667
20,14,15.2667
20,149,10.5
20,241,12.1111
20,232,10
20,370,12
20,198,18.8333
20,371,11.5
20,113,18.8387
20,281,13
20,223|20,85.8182
20,235,13
20,234|20,186.034
20,278|20,93
20,202|20,128
20,197|20,86.4706
20,129,10
20,83|20,262.968
20,196|20,64.6667
20,341|20,121.3
20,101,14
20,214|20,116.6
20,84|20,221.241
20,215|20,90.8846
20,161,25
20,340|20,187.909
20,16|20,89.1667
20,216|20,149.5
